psro_40c,psro
,8.874162689
,9.015067339
,8.960657737
,8.892298356
,8.992745784
,9.055524559
,9.11690775
,9.11690775
,9.069475206
,8.823938975
,8.702567313
,8.955077999
9.411272109,8.984374876
9.439173401,9.040178328
9.51171867,9.111328012
,9.013671753
,8.899274546
,8.734654493
,8.505859211
,8.324498209
,8.387276984
8.723493282,8.359374824
8.844865812,8.482142072
9.001115825,8.628626459
8.786272057,8.430524508
,8.134765431
,8.083146999
,7.893415088
,8.607701357
,8.391462004
8.808593612,8.422154467
8.8490517,8.475167616
,
,8.743024534
8.854631438,8.494698868
8.367745732,8.017577921
,7.975725982
,7.970145377
,
,8.8853239
,8.973214533
,9.075055811
,9.381975231
,9.48800153
,9.296874902
9.489397115,9.082031134
,8.754185744
,8.609095208
8.981584573,8.589563956
,8.551897038
,
,8.97460925
,
9.861885614,9.425223622
9.859095311,9.471261449
9.81445307,9.376395493
9.497767156,9.097376498
9.256417681,8.860212043
9.070870791,8.677454588
,8.642577973
,8.723493282
,8.597935731
,8.903459567
,8.99972024
,
,9.507532782
9.743303386,9.347098616
,9.199218644
,8.896484244
,8.677454588
,8.659318922
,8.464006406
,8.292411029
,8.627232609
,8.678850173
,8.959263886
,9.204798382
,9.182477695
,8.964843624
9.008092015,8.627232609
8.791852663,8.426339487
,8.409598538
,
,8.600725167
9.155970253,8.698381425
,
,9.009485866
9.405692371,8.981584573
,8.783482622
8.948102676,8.533761371
,8.46121697
,8.388671702
,
,8.67187485
,8.812779499
,8.856027023
,8.844865812
,8.67187485
,8.583984218
,8.447265457
,
,8.610490793
9.481027075,8.99832639
,9.035993308
9.515904557,9.094587063
9.377790211,8.953683281
,8.81696452
,8.473772031
,8.690011384
,8.793248248
9.11969892,8.678850173
,8.791852663
,9.005301713
,8.978795138
,8.779296734
9.217355178,8.850446417
,8.960657737
9.461495823,9.070870791
,9.142020474
,9.100167668
,
,
,8.840680792
,8.805803309
,8.874162689
,9.049943954
,9.045758934
,9.013671753
,8.847656115
,
,8.105468553
,8.238001427
,8.143136339
,8.281249818
,8.556082926
,8.436105113
,8.296595182
,8.247767053
,8.000836972
,8.36914045
,8.194754771
8.554687341,8.208704549
,8.225446366
,8.441685719
,8.743024534
,8.681640476
,8.260323849
,8.173827934
,8.102678251
,
9.019251492,8.621652003
,
,8.864397064
,9.115513899
,9.321985892
9.701451448,9.342912728
,
,9.076451396
,8.867187366
,8.794642098
,8.715123241
,8.737443928
9.232701409,8.81417335
9.313615851,8.927176706
9.658203057,9.275948933
,9.455915218
,9.499162741
,9.415457997
,9.292689014
9.411272109,9.035993308
,8.909040172
,8.872767104
,8.40122763
,8.73186419
,8.842076377
,9.202008947
,9.514508972
,9.559152081
,9.578683333
,9.412667694
,9.023437379
,8.939732635
,8.604911055
,8.09151704
,8.51143895
,8.543526997
,8.843470227
,9.207589552
,9.412667694
,9.42243332
,9.095982648
9.20898427,8.811383914
,8.716517091
,8.452845195
8.811383914,8.385881399
,8.586774521
9.109933294,8.706751466
9.316406154,8.929967009
,9.202008947
,9.061105165
,8.860212043
,8.726282717
9.013671753,8.632812347
,8.208704549
,8.417968579
,8.60351547
9.153180818,8.745813969
9.308036113,8.888114203
9.169921766,8.777902016
,8.730468605
,8.609095208
,8.443079569
8.856027023,8.417968579
9.271763912,8.842076377
,8.922990818
,9.017857641
,8.957868301
,8.860212043
,
,8.574218592
,8.747209554
,8.577008895
,8.872767104
9.623326441,9.048548369
9.478235905,9.00251141
,8.886718618
,8.953683281
,9.023437379
9.628906179,9.075055811
,9.139230171
,9.12806896
,8.892298356
9.259207984,8.69559199
,8.970423363
,8.943917655
9.453124915,8.932756444
9.54799087,9.019251492
,9.00669643
9.453124915,8.943917655
,8.822545125
,8.590959541
8.726282717,8.274274495
8.936942332,8.409598538
,8.324498209
8.867187366,8.352399501
,8.464006406
8.860212043,8.366350147
,8.168248196
,8.106864138
,8.03431887
,8.455636365
8.863001479,8.33286825
,8.381696379
,8.345423311
,8.437499831
,8.613281095
,8.476562334
8.602120752,8.123605087
8.497489171,8.013392033
8.480748222,8.063615747
,
,
9.405692371,8.929967009
,8.985770461
9.619140554,9.086217022
9.803291859,9.234095259
9.796317403,9.253626511
,9.101562386
,8.779296734
,8.642577973
9.221540198,8.677454588
9.232701409,8.73186419
,8.809989197
,8.956473584
,8.987165179
9.740513951,9.171317351
9.829798434,9.255022096
,9.323381477
9.620536139,9.072265508
,8.879743295
9.227120804,8.730468605
,8.737443928
9.423828037,8.907645455
,8.497489171
,8.833704601
,8.869977669
9.620536139,9.075055811
9.825614281,9.266183307
9.786551777,9.239676732
9.732142176,9.182477695
,8.850446417
9.158761423,8.678850173
9.260602701,8.761161068
,8.664899527
,8.154296682
,8.564452966
,8.617466983
,8.807198894
,8.949498261
,8.991350199
,8.8853239
,8.595145429
8.959263886,8.475167616
9.019251492,8.561662664
,
,8.468192293
9.12806896,8.590959541
9.252232661,8.727678302
9.388951422,8.840680792
9.365234283,8.846261397
,8.709542636
9.061105165,8.540735827
8.963448907,8.480748222
,8.51841514
,8.264508869
,8.557477643
9.234095259,8.70396203
,8.772321411
,8.801618288
9.1517861,8.643973558
,8.575614177
,8.501673324
,8.416573862
,8.48632796
,8.932756444
9.518693993,8.955077999
9.557756496,9.041573913
9.4545205,8.945312373
9.356864242,8.839286074
,8.554687341
,8.685826364
9.407087089,8.840680792
9.26897361,8.720702979
,8.678850173
,8.847656115
,8.723493282
,8.690011384
,8.796037683
,8.865792649
,8.920201383
,8.900670132
,8.840680792
,
,
,8.730468605
,8.752790159
,8.783482622
,8.850446417
,8.759765482
,8.643973558
,8.510045099
,
,8.108258856
,8.180803257
,8.148716944
,8.249162638
,8.40122763
,8.179407672
,7.924106683
,7.815290082
,7.675781018
,8.433313943
,8.15848257
,8.134765431
8.664899527,8.226841951
,8.431920093
,8.595145429
,8.341239158
8.221261345,7.815290082
,7.710658501
,7.719028541
,
,8.681640476
,8.775110846
,8.819754822
,
,
9.688895519,9.206193967
9.472656166,9.005301713
,8.558873228
8.835100186,8.366350147
,8.378906076
,8.328683229
9.263392137,8.804407724
,8.791852663
9.400110898,8.893693941
,9.225725219
,9.331751517
,9.255022096
,8.977399553
9.213170157,8.726282717
8.93833705,8.512834535
,8.468192293
,8.494698868
,8.469587011
,8.702567313
,8.747209554
,9.114118314
,9.348493334
,9.256417681
,9.105748274
,8.777902016
8.911829608,8.466796708
,8.459821385
,8.238001427
,8.152901965
,8.441685719
8.893693941,8.415178276
,
,8.927176706
,8.978795138
,8.776506431
,8.402623215
,8.212890437
,8.247767053
,7.989676629
8.892298356,8.39285759
,8.433313943
9.001115825,8.51423012
,8.660714507
9.190848603,8.702567313
,8.498883888
,8.27567008
,8.271484192
8.613281095,8.184989145
,
,8.438895416
,8.451451344
8.960657737,8.482142072
,8.51423012
,8.328683229
,8.303571372
,8.21149572
,
,8.366350147
,8.730468605
9.278739235,8.786272057
,
,8.649553296
,8.533761371
,
8.963448907,8.441685719
9.013671753,8.498883888
,8.309151978
,8.754185744
,8.865792649
,8.751395442
,8.708147051
,8.856027023
,8.904855152
,8.928571424
,8.893693941
,8.837890489
,
,
9.211774572,8.78906236
,8.836495771
,8.867187366
,8.899274546
,8.828124863
,8.741629816
8.956473584,8.551897038
,
8.419364164,8.053850122
,8.264508869
8.586774521,8.242187315
8.706751466,8.34402946
,8.51423012
8.681640476,8.31194228
,8.051060686
,7.946429105
,7.794364113
,8.212890437
8.494698868,8.140345169
8.599329582,8.240792597
8.678850173,8.328683229
,8.535156089
9.069475206,8.69977701
8.88253273,8.52260016
8.362165127,8.014787618
,7.894809806
,7.861327908
,
,8.459821385
9.224329634,8.740234231
9.280133953,8.890904506
9.601004887,9.203404532
9.775390567,9.39453116
9.751673427,9.348493334
9.557756496,9.164342028
,8.787667642
,8.616071398
8.981584573,8.586774521
,8.553292623
,8.556082926
9.215959593,8.740234231
9.341517143,8.943917655
9.747489274,9.344308313
,9.441964571
9.900948117,9.47963149
,9.214564008
9.366629868,8.982980158
9.142020474,8.758370765
,8.702567313
,8.772321411
8.630022044,8.198938924
,8.649553296
,8.819754822
9.581473635,9.196428341
9.886998338,9.472656166
9.859095311,9.450334612
,9.377790211
,9.063895468
,8.740234231
,8.765345221
,8.547712017
,7.929687289
,8.385881399
,8.504464494
,8.850446417
,9.189453018
,9.248046773
9.48800153,9.095982648
,8.724888867
,8.450055759
,8.452845195
,
,8.2798551
,8.475167616
,8.726282717
9.36244398,8.950892111
9.448939027,9.027623267
9.213170157,8.811383914
,8.553292623
,8.450055759
,8.377511358
,
8.88253273,8.433313943
,8.652343599
9.17689709,8.762555785
,8.842076377
,8.643973558
,8.521204575
,8.387276984
,8.226841951
,
,8.81696452
,8.896484244
9.450334612,8.984374876
,8.842076377
,8.717912677
,
8.962053322,8.515624837
9.101562386,8.642577973
,8.335657685
